date,time,latitude,longitude,elevation,heart_rate
2018-8-17,2:52:36,37.8045600,-122.4234320,38.2,77
2018-8-17,2:52:37,37.8045560,-122.4234440,38.4,78
2018-8-17,2:52:38,37.8045500,-122.4234660,38.8,79
2018-8-17,2:52:45,37.8044630,-122.4236930,37.6,81
2018-8-17,2:52:47,37.8044390,-122.4237550,37.8,87
2018-8-17,2:52:48,37.8044310,-122.4237890,37.6,91
2018-8-17,2:52:50,37.8044160,-122.4238580,37.6,96
2018-8-17,2:52:52,37.8043940,-122.4239300,37.6,99
2018-8-17,2:52:53,37.8043860,-122.4239670,37.4,101
2018-8-17,2:52:54,37.8043800,-122.4240030,37.2,107
2018-8-17,2:52:55,37.8043740,-122.4240410,37.4,112
2018-8-17,2:52:58,37.8043560,-122.4241520,37.2,115
2018-8-17,2:53:5,37.8043210,-122.4244010,36.8,116
2018-8-17,2:53:8,37.8042980,-122.4245040,36.0,117
2018-8-17,2:53:15,37.8042220,-122.4247540,36.4,118
2018-8-17,2:53:21,37.8041690,-122.4250160,36.2,118
2018-8-17,2:53:26,37.8041340,-122.4252660,36.4,120
2018-8-17,2:53:31,37.8041790,-122.4254690,36.2,123
2018-8-17,2:53:34,37.8042560,-122.4255290,36.2,126
2018-8-17,2:53:38,37.8043640,-122.4256020,35.8,129
2018-8-17,2:53:41,37.8044490,-122.4256250,37.2,130
2018-8-17,2:53:47,37.8046140,-122.4256640,36.8,133
2018-8-17,2:53:53,37.8047740,-122.4256800,37.2,136
2018-8-17,2:54:0,37.8049580,-122.4257340,38.0,137
2018-8-17,2:54:7,37.8051170,-122.4257810,38.4,136
2018-8-17,2:54:15,37.8052810,-122.4259180,38.6,136
2018-8-17,2:54:22,37.8054070,-122.4261090,38.6,138
2018-8-17,2:54:25,37.8054530,-122.4261910,38.6,135
2018-8-17,2:54:32,37.8055190,-122.4264150,38.8,134
2018-8-17,2:54:39,37.8054960,-122.4266450,39.0,135
2018-8-17,2:54:46,37.8054250,-122.4268800,39.2,135
2018-8-17,2:54:54,37.8053490,-122.4271180,38.8,135
2018-8-17,2:55:1,37.8053140,-122.4273670,38.0,133
2018-8-17,2:55:8,37.8052680,-122.4275980,37.6,134
2018-8-17,2:55:11,37.8052500,-122.4277000,37.0,134
2018-8-17,2:55:13,37.8052440,-122.4277700,35.4,133
2018-8-17,2:55:20,37.8052280,-122.4280390,35.4,133
2018-8-17,2:55:27,37.8051730,-122.4282670,35.0,133
2018-8-17,2:55:28,37.8051630,-122.4282980,34.2,132
2018-8-17,2:55:35,37.8051430,-122.4285410,34.0,131
2018-8-17,2:55:40,37.8051390,-122.4287170,33.2,131
2018-8-17,2:55:43,37.8051320,-122.4288310,32.2,130
2018-8-17,2:55:50,37.8051640,-122.4290710,32.4,132
2018-8-17,2:55:52,37.8051820,-122.4291280,32.6,130
2018-8-17,2:55:58,37.8052820,-122.4293370,30.8,128
2018-8-17,2:56:4,37.8054250,-122.4294900,29.6,130
2018-8-17,2:56:11,37.8056130,-122.4296000,28.6,130
2018-8-17,2:56:12,37.8056360,-122.4296190,28.6,131
2018-8-17,2:56:19,37.8057640,-122.4298160,29.0,129
2018-8-17,2:56:24,37.8057420,-122.4299450,29.6,129
2018-8-17,2:56:31,37.8056040,-122.4301090,29.6,130
2018-8-17,2:56:38,37.8054310,-122.4302310,28.6,132
2018-8-17,2:56:45,37.8053320,-122.4304370,27.4,133
2018-8-17,2:56:48,37.8053020,-122.4305280,26.4,134
2018-8-17,2:56:50,37.8052880,-122.4305970,25.2,133
2018-8-17,2:56:53,37.8052520,-122.4306850,26.2,132
2018-8-17,2:57:0,37.8051630,-122.4309230,25.8,131
2018-8-17,2:57:6,37.8050400,-122.4310940,25.0,132
2018-8-17,2:57:8,37.8049960,-122.4311310,25.0,132
